Time Series Search Export,Search term,Search filters,,Last update of Residential property prices data,Downloaded at,Source,Source URL,Download URL,About Residential property prices
,,,,2026-08-27,2026-09-01 18:33 CEST,BIS,https://data.bis.org/topics/RPP/data?sort=_GLOBAL_REF_AREA_SORT-ASC&selected_ts=BIS%2CWS_SPP%2C1.0%255EQ.5R.R.628,https://data.bis.org/api/export-timeseries?sort=_GLOBAL_REF_AREA_SORT-ASC&selected_ts=BIS%2CWS_SPP%2C1.0%255EQ.5R.R.628&file_format=csv&format=long&split_frequencies=false&transposed=false&include=code%2Clabel,https://data.bis.org/topics/RPP

KEY:Timeseries Key,FREQ:Frequency,REF_AREA:Reference area,VALUE:Value,UNIT_MEASURE:Unit of measure,Unit,Unit multiplier,TIME_PERIOD:Period,OBS_CONF:Confidentiality,OBS_PRE_BREAK:Pre-break value,OBS_STATUS:Status,OBS_VALUE:Value
BIS:WS_SPP(1.0):Q.5R.R.628,Q:Quarterly,5R:Advanced economies,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2023-06-30,F:Free,,A:Normal value,131.1251
BIS:WS_SPP(1.0):Q.5R.R.628,Q:Quarterly,5R:Advanced economies,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2023-09-30,F:Free,,A:Normal value,131.3158
BIS:WS_SPP(1.0):Q.5R.R.628,Q:Quarterly,5R:Advanced economies,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2023-12-31,F:Free,,A:Normal value,130.8936
BIS:WS_SPP(1.0):Q.5R.R.628,Q:Quarterly,5R:Advanced economies,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2024-03-31,F:Free,,A:Normal value,131.066
BIS:WS_SPP(1.0):Q.5R.R.628,Q:Quarterly,5R:Advanced economies,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2024-06-30,F:Free,,A:Normal value,131.0034
BIS:WS_SPP(1.0):Q.5R.R.628,Q:Quarterly,5R:Advanced economies,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2024-09-30,F:Free,,A:Normal value,131.8237
BIS:WS_SPP(1.0):Q.5R.R.628,Q:Quarterly,5R:Advanced economies,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2024-12-31,F:Free,,A:Normal value,131.9816
BIS:WS_SPP(1.0):Q.5R.R.628,Q:Quarterly,5R:Advanced economies,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2025-03-31,F:Free,,A:Normal value,132.4377
BIS:WS_SPP(1.0):Q.5R.R.628,Q:Quarterly,5R:Advanced economies,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2025-06-30,F:Free,,A:Normal value,131.8566
BIS:WS_SPP(1.0):Q.5R.R.628,Q:Quarterly,5R:Advanced economies,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2025-09-30,F:Free,,A:Normal value,132.2772
BIS:WS_SPP(1.0):Q.5R.R.628,Q:Quarterly,5R:Advanced economies,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2025-12-31,F:Free,,A:Normal value,132.4739
BIS:WS_SPP(1.0):Q.5R.R.628,Q:Quarterly,5R:Advanced economies,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2026-03-31,F:Free,,A:Normal value,132.1468
