par_cz,kid_race,par_pctile,shrunk_xkid_brcbalance2020,cz_name
36501,Pooled,-9,4775.400711321873,Klamath Falls
36501,Asian,-9,5566.666666666667,Klamath Falls
36501,Asian,50,5566.666666666666,Klamath Falls
36501,Pooled,50,4815.003809901021,Klamath Falls
36501,Asian,25,4471,Klamath Falls
36501,Hispanic,50,4925.92835745113,Klamath Falls
36501,Hispanic,25,4068.579487179487,Klamath Falls
36501,AIAN,-9,2646.36,Klamath Falls
36501,Black,50,3573.666666666667,Klamath Falls
36501,Asian,75,6662.333333333333,Klamath Falls
36501,AIAN,50,2766.809523809524,Klamath Falls
36501,AIAN,25,2014,Klamath Falls
36501,Pooled,75,5557.34189104571,Klamath Falls
36502,White,75,4734,Burns
36502,AIAN,-9,2986,Burns
36502,Pooled,25,3821.88,Burns
36502,AIAN,25,2126,Burns
36502,White,50,4411.5,Burns
36502,AIAN,50,2986,Burns
36502,Pooled,-9,4162.413043478261,Burns
36502,Pooled,75,4567.809523809524,Burns
36502,Hispanic,75,3877,Burns
36502,Hispanic,25,2713,Burns
36502,Hispanic,-9,3295,Burns
36502,White,-9,4377.552631578948,Burns
36502,Pooled,50,4194.844761904762,Burns
36502,Hispanic,50,3295,Burns
36502,AIAN,75,3846,Burns
36502,White,25,4089,Burns
36503,AIAN,25,820,Lakeview
36503,Pooled,50,4947.745255997135,Lakeview
36503,Pooled,75,6379.244897959184,Lakeview
36503,Pooled,25,3516.245614035088,Lakeview
36503,White,25,3622,Lakeview
36503,White,50,4796.5,Lakeview
36503,AIAN,-9,6465,Lakeview
36503,Hispanic,25,4917,Lakeview
36503,AIAN,75,12110,Lakeview
36503,Hispanic,75,4833,Lakeview
36503,White,75,5971,Lakeview
36503,AIAN,50,6465,Lakeview
36503,White,-9,4692.1,Lakeview
36503,Hispanic,50,4875,Lakeview
36503,Pooled,-9,4839.707547169812,Lakeview
36503,Hispanic,-9,4875,Lakeview
36600,White,25,4069.609756097561,Redding
36600,Asian,25,5107.75,Redding
36600,White,50,4737.519163763066,Redding
36600,AIAN,50,3958.667410714286,Redding
36600,AIAN,25,2922.40625,Redding
36600,Hispanic,25,3561.192513368984,Redding
36600,Hispanic,-9,4162.135338345865,Redding
36600,Black,50,3524.490909090909,Redding
36600,AIAN,75,4994.928571428572,Redding
36600,Asian,-9,5766.695652173913,Redding
36600,Black,75,4703.8,Redding
36600,Asian,50,6190.303571428572,Redding
36600,Black,25,2345.181818181818,Redding
36600,Black,-9,3468.333333333333,Redding
36600,White,-9,4695.684665226782,Redding
36600,AIAN,-9,3553.173913043478,Redding
36600,Hispanic,50,4572.906383266771,Redding
36600,White,75,5405.428571428572,Redding
36600,Pooled,25,3990.834450402145,Redding
36600,Pooled,-9,4632.214922048997,Redding
36600,Asian,75,7272.857142857143,Redding
36600,Pooled,75,5428.337770382695,Redding
36600,Hispanic,75,5584.620253164557,Redding
36600,Pooled,50,4709.58611039242,Redding
36700,Asian,25,5026,Eureka
36700,Pooled,75,4959.627465303141,Eureka
36700,White,75,4979.06600660066,Eureka
36700,Pooled,25,3888.908474576271,Eureka
36700,Asian,50,4404.5,Eureka
36700,Hispanic,75,5171.636363636364,Eureka
36700,White,25,3994.764705882353,Eureka
36700,Hispanic,50,4499.522407170294,Eureka
36700,Hispanic,-9,4341.721739130435,Eureka
36700,White,-9,4491.422980849292,Eureka
36700,AIAN,25,2260.957446808511,Eureka
36700,Black,50,2873,Eureka
36700,Black,25,2812,Eureka
36700,Pooled,50,4424.267969939706,Eureka
36700,AIAN,-9,3073.735294117647,Eureka
36700,AIAN,50,3576.883485309017,Eureka
36700,Pooled,-9,4404.314345991561,Eureka
36700,Asian,75,3783,Eureka
36700,Black,-9,2873,Eureka
36700,Asian,-9,4640.241379310345,Eureka
36700,White,50,4486.915356241507,Eureka
36700,Black,75,2934,Eureka
36700,Hispanic,25,3827.408450704225,Eureka
36700,AIAN,75,4892.809523809524,Eureka
36800,White,-9,4498.493955094991,Medford
36800,Black,-9,3419.473684210526,Medford
36800,Asian,25,5635.793103448276,Medford
36800,Black,25,2755,Medford
36800,Hispanic,-9,4330.505928853755,Medford
36800,AIAN,25,2743.809523809524,Medford
36800,Pooled,25,3951.806567328918,Medford
36800,Asian,75,5826.28,Medford
36800,White,25,3958.546031746032,Medford
36800,Black,75,4083.947368421052,Medford
36800,Asian,-9,5723.981481481482,Medford
36800,Hispanic,50,4727.606045081968,Medford
36800,Asian,50,5731.036551724138,Medford
36800,AIAN,-9,3713.939393939394,Medford
36800,Hispanic,75,5494.524590163935,Medford
36800,AIAN,50,4077.738095238095,Medford
36800,AIAN,75,5411.666666666667,Medford
36800,White,50,4550.648015873016,Medford
36800,Pooled,50,4555.46582783407,Medford
36800,Black,50,3419.473684210526,Medford
36800,Pooled,-9,4481.200960644562,Medford
36800,Pooled,75,5159.125088339222,Medford
36800,White,75,5142.75,Medford
36800,Hispanic,25,3960.6875,Medford
36901,White,50,4474.622534780615,Crescent City
36901,White,75,5145.548387096775,Crescent City
36901,Asian,75,7778,Crescent City
36901,Pooled,25,3764.197718631179,Crescent City
36901,Black,75,3175,Crescent City
36901,Hispanic,25,3962.857142857143,Crescent City
36901,Hispanic,-9,4399.744680851064,Crescent City
36901,Hispanic,75,5043.578947368421,Crescent City
36901,Pooled,-9,4405.097959183673,Crescent City
36901,AIAN,-9,3075,Crescent City
36901,Asian,50,6479.5,Crescent City
36901,Asian,25,5181,Crescent City
36901,AIAN,75,4069,Crescent City
36901,AIAN,25,2246.666666666667,Crescent City
36901,Hispanic,50,4503.218045112782,Crescent City
36901,White,-9,4432.372795969774,Crescent City
36901,Black,25,2009,Crescent City
36901,White,25,3803.696682464455,Crescent City
36901,AIAN,50,3157.833333333333,Crescent City
36901,Black,50,2592,Crescent City
36901,Asian,-9,6479.5,Crescent City
36901,Pooled,50,4455.918242575501,Crescent City
36901,Pooled,75,5147.638766519824,Crescent City
36901,Black,-9,2592,Crescent City
36902,Hispanic,50,4388.538934426229,Roseburg
36902,AIAN,50,3816.705128205128,Roseburg
36902,Black,25,3337.5,Roseburg
36902,Asian,-9,5259.75,Roseburg
36902,Asian,50,5259.75,Roseburg
36902,Hispanic,-9,4151.483870967741,Roseburg
36902,Hispanic,25,3628.327868852459,Roseburg
36902,AIAN,25,2334.333333333333,Roseburg
36902,Hispanic,75,5148.75,Roseburg
36902,Asian,75,4871,Roseburg
36902,Pooled,-9,4262.328784119107,Roseburg
36902,Pooled,25,3667.091372912801,Roseburg
36902,Pooled,75,4947.137673425827,Roseburg
36902,AIAN,75,5299.076923076923,Roseburg
36902,White,-9,4267.532258064516,Roseburg
36902,Asian,25,5648.5,Roseburg
36902,White,25,3674.36040609137,Roseburg
36902,White,75,4935.274285714286,Roseburg
36902,Black,75,4952,Roseburg
36902,Black,50,4144.75,Roseburg
36902,Black,-9,4144.75,Roseburg
36902,AIAN,-9,3710.821428571428,Roseburg
36902,White,50,4304.817345902828,Roseburg
36902,Pooled,50,4307.114523169314,Roseburg
37000,Hispanic,75,5097.353556485356,Modesto
37000,Asian,25,5599.243315508022,Modesto
37000,Black,-9,3270.018987341772,Modesto
37000,Hispanic,25,3639.374639769453,Modesto
37000,White,25,4045.133307117578,Modesto
37000,Pooled,-9,4496.432020839596,Modesto
37000,Black,75,4415.330097087379,Modesto
37000,AIAN,75,4609.968253968254,Modesto
37000,Asian,75,6097.102564102564,Modesto
37000,White,75,5273.792663476874,Modesto
37000,White,-9,4723.514265586474,Modesto
37000,White,50,4659.462985297226,Modesto
37000,Hispanic,-9,4051.140620384047,Modesto
37000,AIAN,50,3809.403880070547,Modesto
37000,Pooled,25,3914.874006607733,Modesto
37000,Pooled,50,4577.264802002942,Modesto
37000,Asian,-9,5745.783018867925,Modesto
37000,Asian,50,5848.172939805293,Modesto
37000,Pooled,75,5239.655597398151,Modesto
37000,Black,50,3565.756597839464,Modesto
37000,Hispanic,50,4368.364098127404,Modesto
37000,AIAN,25,3008.83950617284,Modesto
37000,Black,25,2716.183098591549,Modesto
37000,AIAN,-9,3709.333333333333,Modesto
37100,White,25,3920,Bakersfield
37100,Black,-9,2907.977011494253,Bakersfield
37100,Hispanic,25,3556,Bakersfield
37100,AIAN,75,4919,Bakersfield
37100,Asian,75,7218,Bakersfield
37100,Pooled,50,4562.45257683935,Bakersfield
37100,Pooled,25,3698.486929379633,Bakersfield
37100,AIAN,50,3646.5,Bakersfield
37100,AIAN,25,2374,Bakersfield
37100,Pooled,75,5426.418224299066,Bakersfield
37100,Hispanic,-9,3943.513043478261,Bakersfield
37100,White,-9,4827.344680851063,Bakersfield
37100,Asian,-9,6376.153846153846,Bakersfield
37100,AIAN,-9,3384.514705882353,Bakersfield
37100,White,50,4687,Bakersfield
37100,Black,25,2434,Bakersfield
37100,Asian,50,6498,Bakersfield
37100,Asian,25,5778,Bakersfield
37100,Pooled,-9,4439.85375361996,Bakersfield
37100,Black,50,3227,Bakersfield
37100,White,75,5454,Bakersfield
37100,Hispanic,50,4413,Bakersfield
37100,Hispanic,75,5270,Bakersfield
37100,Black,75,4020,Bakersfield
37200,Hispanic,-9,3811.351430239346,Fresno
37200,Asian,-9,5897.360236220473,Fresno
37200,White,75,5652.123428571428,Fresno
37200,AIAN,25,2652.595505617977,Fresno
37200,White,-9,4977.879021879022,Fresno
37200,White,25,4109.007363770251,Fresno
37200,Pooled,25,3701.859188338293,Fresno
37200,Black,50,3355.228324056895,Fresno
37200,White,50,4880.565396170839,Fresno
37200,Black,75,4421.248484848485,Fresno
37200,AIAN,-9,3254.51968503937,Fresno
37200,Black,25,2289.208163265306,Fresno
37200,Hispanic,25,3424.604938271605,Fresno
37200,Asian,25,5488.395507147719,Fresno
37200,AIAN,50,3658.442489651094,Fresno
37200,Asian,75,6964.445825932505,Fresno
37200,AIAN,75,4664.289473684211,Fresno
37200,Pooled,50,4653.980324347294,Fresno
37200,Pooled,-9,4388.606683946397,Fresno
37200,Hispanic,75,5396.321428571428,Fresno
37200,Pooled,75,5606.101460356296,Fresno
37200,Black,-9,2826.287022900764,Fresno
37200,Hispanic,50,4410.463183421517,Fresno
37200,Asian,50,6226.420666540113,Fresno
37300,White,-9,4572.098387993329,Chico
37300,Hispanic,25,3833.526772793054,Chico
37300,Pooled,25,3963.190926951241,Chico
37300,Black,75,4412.534090909091,Chico
37300,Black,50,3675.132987483531,Chico
37300,AIAN,25,2529.120481927711,Chico
37300,Pooled,-9,4552.215122148193,Chico
37300,White,25,3878.998325892857,Chico
37300,Asian,75,7437.954545454545,Chico
37300,White,75,5259.825581395349,Chico
37300,Pooled,75,5317.932899930346,Chico
37300,Black,25,2937.731884057971,Chico
37300,Black,-9,3511.991150442478,Chico
37300,Hispanic,75,5433.590476190476,Chico
37300,AIAN,50,3570.251150054764,Chico
37300,Hispanic,50,4633.558624491765,Chico
37300,White,50,4569.411953644103,Chico
37300,AIAN,75,4611.381818181818,Chico
37300,Asian,25,5762.907766990291,Chico
37300,Hispanic,-9,4206.460599334073,Chico
37300,Asian,-9,6169.35294117647,Chico
37300,Pooled,50,4640.561913440793,Chico
37300,Asian,50,6600.431156222417,Chico
37300,AIAN,-9,3359.007246376812,Chico
37400,White,75,5562.523488316068,Sacramento
37400,Hispanic,75,5337.252820727121,Sacramento
37400,Black,-9,3087.02194752775,Sacramento
37400,AIAN,-9,3378.244541484716,Sacramento
37400,Black,50,3360.064112412594,Sacramento
37400,Asian,75,6565.152953586497,Sacramento
37400,White,25,4505.239854877721,Sacramento
37400,Hispanic,25,3675.054997355896,Sacramento
37400,Pooled,50,4856.439300030679,Sacramento
37400,AIAN,25,2696.899224806201,Sacramento
37400,Black,75,4176.307808946171,Sacramento
37400,Asian,25,5581.07697790449,Sacramento
37400,AIAN,75,4257.18,Sacramento
37400,Black,25,2543.820415879017,Sacramento
37400,Asian,-9,5977.8885580604,Sacramento
37400,White,-9,5167.031917567228,Sacramento
37400,AIAN,50,3477.039612403101,Sacramento
37400,Hispanic,-9,4319.207125506073,Sacramento
37400,Pooled,-9,4910.398129407155,Sacramento
37400,Asian,50,6073.114965745493,Sacramento
37400,White,50,5033.881671596895,Sacramento
37400,Pooled,75,5524.264294560063,Sacramento
37400,Pooled,25,4188.614305501296,Sacramento
37400,Hispanic,50,4506.153909041508,Sacramento
37500,AIAN,-9,3666.042735042735,San Jose
