par_cz,kid_race,par_pctile,shrunk_xkid_delinq90_02020,cz_name
26412,White,25,.3246065068493151,Williston
26412,AIAN,25,.6385,Williston
26412,AIAN,75,.425,Williston
26501,Asian,25,.1622,Brookings
26501,Black,-9,.5799000000000001,Brookings
26501,Asian,75,.206,Brookings
26501,Black,25,.5917,Brookings
26501,White,50,.2403928846153846,Brookings
26501,AIAN,75,.3846444444444444,Brookings
26501,Black,75,.5681,Brookings
26501,White,75,.1760416666666667,Brookings
26501,Hispanic,75,.34315,Brookings
26501,AIAN,25,.7477000000000001,Brookings
26501,Asian,50,.1841,Brookings
26501,White,25,.3047441025641026,Brookings
26501,Asian,-9,.1841,Brookings
26501,AIAN,50,.5661722222222223,Brookings
26501,Black,50,.5799000000000001,Brookings
26501,Hispanic,50,.39385,Brookings
26501,Pooled,50,.2620830721524294,Brookings
26501,Pooled,75,.1917041533546326,Brookings
26501,Pooled,-9,.2499578651685394,Brookings
26501,White,-9,.2280022774327122,Brookings
26501,Pooled,25,.3324619909502262,Brookings
26501,AIAN,-9,.5757263157894738,Brookings
26501,Hispanic,25,.44455,Brookings
26501,Hispanic,-9,.39385,Brookings
26502,White,75,.1590041237113402,Madison
26502,Hispanic,75,.4616,Madison
26502,White,50,.2441827910223368,Madison
26502,Pooled,50,.2527715594059406,Madison
26502,Hispanic,-9,.4603999999999999,Madison
26502,White,-9,.2437414507772021,Madison
26502,Pooled,75,.1709881188118812,Madison
26502,Hispanic,25,.4591999999999999,Madison
26502,Pooled,-9,.2523646766169154,Madison
26502,White,25,.3293614583333334,Madison
26502,Hispanic,50,.4603999999999999,Madison
26502,Pooled,25,.334555,Madison
26503,Hispanic,-9,.4791542857142858,Sioux Falls
26503,Pooled,50,.3144842653641546,Sioux Falls
26503,Asian,75,.226126,Sioux Falls
26503,Black,75,.4956333333333333,Sioux Falls
26503,White,-9,.2724549683662076,Sioux Falls
26503,White,50,.2970180227749396,Sioux Falls
26503,Black,50,.5596877192982456,Sioux Falls
26503,Pooled,25,.4080542023701003,Sioux Falls
26503,Hispanic,50,.4643761904761904,Sioux Falls
26503,Pooled,75,.2209143283582089,Sioux Falls
26503,White,75,.2114137073452863,Sioux Falls
26503,Hispanic,75,.3904857142857142,Sioux Falls
26503,AIAN,50,.6834023809523809,Sioux Falls
26503,Pooled,-9,.2915586648313833,Sioux Falls
26503,Asian,50,.2315824117647058,Sioux Falls
26503,Black,25,.6237421052631579,Sioux Falls
26503,Black,-9,.592996,Sioux Falls
26503,Asian,25,.2370388235294117,Sioux Falls
26503,AIAN,75,.6347999999999999,Sioux Falls
26503,Asian,-9,.23114,Sioux Falls
26503,AIAN,-9,.7006483870967741,Sioux Falls
26503,Hispanic,25,.5382666666666667,Sioux Falls
26503,AIAN,25,.7320047619047619,Sioux Falls
26503,White,25,.3826223382045929,Sioux Falls
26504,AIAN,75,.2999,Watertown
26504,AIAN,-9,.5429,Watertown
26504,White,-9,.2589029520295203,Watertown
26504,Asian,25,.4743000000000001,Watertown
26504,Black,-9,.59775,Watertown
26504,Pooled,75,.1994464163822526,Watertown
26504,White,75,.1902231046931408,Watertown
26504,Hispanic,75,.2978,Watertown
26504,AIAN,50,.5429,Watertown
26504,White,25,.3306928301886792,Watertown
26504,Asian,50,.3839,Watertown
26504,Hispanic,50,.4192,Watertown
26504,Pooled,25,.346753024911032,Watertown
26504,Pooled,-9,.2715599303135888,Watertown
26504,Asian,-9,.3839,Watertown
26504,Hispanic,-9,.4192,Watertown
26504,AIAN,25,.7859,Watertown
26504,Black,25,.6502,Watertown
26504,Asian,75,.2935,Watertown
26504,White,50,.26045796744091,Watertown
26504,Black,50,.59775,Watertown
26504,Black,75,.5453,Watertown
26504,Hispanic,25,.5406,Watertown
26504,Pooled,50,.2730997206466423,Watertown
26601,Pooled,50,.2415659520807062,Milbank
26601,AIAN,50,.6007,Milbank
26601,White,75,.1531525423728814,Milbank
26601,AIAN,75,.5387,Milbank
26601,Pooled,25,.3173384615384616,Milbank
26601,AIAN,25,.6627,Milbank
26601,AIAN,-9,.6007,Milbank
26601,White,-9,.2322754098360656,Milbank
26601,Pooled,-9,.2439714285714286,Milbank
26601,Pooled,75,.1657934426229508,Milbank
26601,White,50,.2297635727737423,Milbank
26601,White,25,.3063746031746032,Milbank
26602,Pooled,25,.3775979020979021,Sisseton
26602,Hispanic,50,.43225,Sisseton
26602,Hispanic,75,.3391,Sisseton
26602,White,25,.2954527777777778,Sisseton
26602,AIAN,25,.6447096774193547,Sisseton
26602,White,50,.2314549603174603,Sisseton
26602,Pooled,75,.2276350515463918,Sisseton
26602,White,-9,.2421789189189189,Sisseton
26602,Pooled,-9,.3169879166666666,Sisseton
26602,AIAN,50,.5670423387096774,Sisseton
26602,AIAN,-9,.5918297872340424,Sisseton
26602,AIAN,75,.489375,Sisseton
26602,Hispanic,25,.5254,Sisseton
26602,Pooled,50,.3026164768221469,Sisseton
26602,Hispanic,-9,.43225,Sisseton
26602,White,75,.1674571428571429,Sisseton
26603,Pooled,-9,.5181488636363636,East Corson UT
26603,White,25,.2645352941176471,East Corson UT
26603,White,-9,.2359264705882353,East Corson UT
26603,White,50,.2359264705882353,East Corson UT
26603,White,75,.2073176470588235,East Corson UT
26603,AIAN,25,.7027875,East Corson UT
26603,Pooled,25,.5507408163265306,East Corson UT
26603,Pooled,75,.4772000000000001,East Corson UT
26603,AIAN,75,.6857454545454547,East Corson UT
26603,AIAN,-9,.6958444444444445,East Corson UT
26603,Pooled,50,.5139704081632653,East Corson UT
26603,AIAN,50,.6942664772727274,East Corson UT
26604,White,75,.0888753846153846,Mobridge
26604,AIAN,-9,.6170500000000001,Mobridge
26604,Pooled,50,.2509870359501101,Mobridge
26604,Pooled,-9,.2614299047619048,Mobridge
26604,Hispanic,25,.5429,Mobridge
26604,Hispanic,50,.4417,Mobridge
26604,Pooled,25,.3506689655172414,Mobridge
26604,White,-9,.21326,Mobridge
26604,AIAN,75,.5708,Mobridge
26604,Pooled,75,.1513051063829787,Mobridge
26604,Hispanic,-9,.4417,Mobridge
26604,AIAN,50,.61705,Mobridge
26604,Hispanic,75,.3405,Mobridge
26604,White,25,.31028,Mobridge
26604,White,50,.1995776923076923,Mobridge
26604,AIAN,25,.6633,Mobridge
26605,AIAN,75,.6099,Aberdeen
26605,Asian,25,.3216,Aberdeen
26605,Asian,75,.234,Aberdeen
26605,White,-9,.2646625384615384,Aberdeen
26605,Hispanic,25,.5499000000000001,Aberdeen
26605,Hispanic,-9,.46475,Aberdeen
26605,Black,25,.6804,Aberdeen
26605,Pooled,-9,.280493976777939,Aberdeen
26605,Black,75,.6463,Aberdeen
26605,White,50,.276057226517089,Aberdeen
26605,AIAN,25,.7211,Aberdeen
26605,Pooled,25,.3677390862944162,Aberdeen
26605,Black,-9,.66335,Aberdeen
26605,Hispanic,50,.46475,Aberdeen
26605,AIAN,-9,.6654999999999999,Aberdeen
26605,Asian,50,.2778,Aberdeen
26605,AIAN,50,.6655,Aberdeen
26605,Pooled,50,.2913580437825321,Aberdeen
26605,White,25,.3516342391304347,Aberdeen
26605,Pooled,75,.214977001270648,Aberdeen
26605,Asian,-9,.2778,Aberdeen
26605,White,75,.2004802139037433,Aberdeen
26605,Black,50,.66335,Aberdeen
26605,Hispanic,75,.3796,Aberdeen
26701,Black,75,.5209666666666667,Bemidji
26701,Pooled,75,.2179039647577093,Bemidji
26701,Hispanic,25,.5062000000000001,Bemidji
26701,AIAN,75,.5066245614035088,Bemidji
26701,White,75,.1865589178356713,Bemidji
