par_cz,kid_race,par_pctile,shrunk_income_resid_2020,cz_name
21101,Pooled,-9,-.0845937860409556,Rice Lake
21101,Hispanic,75,-.0111883636363636,Rice Lake
21101,AIAN,50,.063113645,Rice Lake
21101,Pooled,25,-.0488443490792634,Rice Lake
21101,White,50,-.1012588202764977,Rice Lake
21101,White,-9,-.0989718181818182,Rice Lake
21101,Hispanic,25,.0539006060606061,Rice Lake
21101,Pooled,75,-.1253709976986301,Rice Lake
21102,Hispanic,75,-.0302,Amery
21102,Pooled,50,-.0905484114832536,Amery
21102,AIAN,75,.030205,Amery
21102,AIAN,25,.104365,Amery
21102,AIAN,50,.067285,Amery
21102,White,25,-.053406875,Amery
21102,White,75,-.1391541666666667,Amery
21102,Hispanic,25,-.036755,Amery
21102,Pooled,75,-.1325563684210527,Amery
21102,Asian,-9,-.048265,Amery
21102,Asian,75,-.06899,Amery
21102,Pooled,25,-.0485404545454545,Amery
21102,White,50,-.0962805208333333,Amery
21102,Asian,25,-.02754,Amery
21102,White,-9,-.1010442592592593,Amery
21102,Pooled,-9,-.0949445930232558,Amery
21102,Hispanic,-9,-.0334775,Amery
21102,Asian,50,-.048265,Amery
21102,Hispanic,50,-.0334775,Amery
21102,AIAN,-9,.067285,Amery
21201,Asian,25,-.1391666666666667,Hutchinson
21201,Black,50,-.002875,Hutchinson
21201,Hispanic,25,.0754268421052632,Hutchinson
21201,Pooled,75,-.1498681528662421,Hutchinson
21201,Black,25,.08952,Hutchinson
21201,White,75,-.1519377926421405,Hutchinson
21201,White,25,-.1058977142857143,Hutchinson
21201,Hispanic,75,-.0907228571428571,Hutchinson
21201,White,-9,-.1349398734177215,Hutchinson
21201,White,50,-.1289177534639274,Hutchinson
21201,Asian,50,-.13655,Hutchinson
21201,Pooled,50,-.1229120114980561,Hutchinson
21201,Pooled,-9,-.129378292201382,Hutchinson
21201,Black,75,-.09527,Hutchinson
21201,Asian,75,-.1339333333333333,Hutchinson
21201,Pooled,25,-.0959558701298701,Hutchinson
21201,Hispanic,-9,.0049390909090909,Hutchinson
21201,Hispanic,50,-.007648007518797,Hutchinson
21201,Black,-9,-.002875,Hutchinson
21201,Asian,-9,-.13655,Hutchinson
21202,Hispanic,-9,.1242925,Redwood Falls
21202,Asian,75,-.1778,Redwood Falls
21202,Pooled,25,-.1160037837837838,Redwood Falls
21202,Hispanic,75,.084585,Redwood Falls
21202,Pooled,75,-.1424664905660377,Redwood Falls
21202,AIAN,-9,.12685,Redwood Falls
21202,Asian,-9,-.17195,Redwood Falls
21202,White,75,-.156830612244898,Redwood Falls
21202,AIAN,75,.08805,Redwood Falls
21202,Pooled,-9,-.1315873777777778,Redwood Falls
21202,Pooled,50,-.1292351371749108,Redwood Falls
21202,Asian,25,-.1661,Redwood Falls
21202,White,25,-.1420212121212121,Redwood Falls
21202,AIAN,25,.16565,Redwood Falls
21202,White,50,-.149425912183055,Redwood Falls
21202,AIAN,50,.12685,Redwood Falls
21202,White,-9,-.150870731707317,Redwood Falls
21202,Hispanic,25,.164,Redwood Falls
21202,Hispanic,50,.1242925,Redwood Falls
21202,Asian,50,-.17195,Redwood Falls
21301,Black,75,.05447,Mankato
21301,Black,50,.0951933333333333,Mankato
21301,Hispanic,25,.0863588095238095,Mankato
21301,Hispanic,75,-.1315510714285714,Mankato
21301,AIAN,-9,.029435,Mankato
21301,Asian,75,-.14598,Mankato
21301,Hispanic,-9,-.0008051428571428,Mankato
21301,Black,-9,.0951933333333333,Mankato
21301,White,75,-.1545701232777375,Mankato
21301,Hispanic,50,-.0225961309523809,Mankato
21301,White,25,-.099289250317662,Mankato
21301,AIAN,75,.08236,Mankato
21301,Pooled,75,-.1516092515592516,Mankato
21301,Pooled,25,-.0873131676300578,Mankato
21301,Asian,25,-.127468,Mankato
21301,Pooled,-9,-.1275121490467938,Mankato
21301,AIAN,25,-.02349,Mankato
21301,Asian,50,-.136724,Mankato
21301,Pooled,50,-.1194612095946547,Mankato
21301,Asian,-9,-.136724,Mankato
21301,Black,25,.1359166666666667,Mankato
21301,AIAN,50,.029435,Mankato
21301,White,-9,-.1344842289935365,Mankato
21301,White,50,-.1269296867976997,Mankato
21302,Hispanic,-9,.0974797,Owatonna
21302,Hispanic,25,.1419567567567568,Owatonna
21302,Asian,50,-.0870322222222222,Owatonna
21302,AIAN,50,-.0104065,Owatonna
21302,Black,-9,.0545076153846154,Owatonna
21302,Asian,25,-.0957162962962963,Owatonna
21302,Asian,75,-.0783481481481481,Owatonna
21302,AIAN,75,-.01451,Owatonna
21302,Asian,-9,-.0870322222222222,Owatonna
21302,Black,25,.1425740740740741,Owatonna
21302,White,25,-.0753331313131313,Owatonna
21302,AIAN,25,-.006303,Owatonna
21302,Pooled,75,-.1314061877340824,Owatonna
21302,White,50,-.105719261734997,Owatonna
21302,Pooled,25,-.0558261669626998,Owatonna
21302,Pooled,-9,-.1053169469650521,Owatonna
21302,White,-9,-.1162491089108911,Owatonna
21302,Black,75,-.04060416,Owatonna
21302,Pooled,50,-.0936161773483911,Owatonna
21302,Hispanic,75,.0060546388888889,Owatonna
21302,AIAN,-9,-.0104065,Owatonna
21302,Black,50,.0509849570370371,Owatonna
21302,White,75,-.1361053921568628,Owatonna
21302,Hispanic,50,.0740056978228228,Owatonna
21400,AIAN,25,-.0056642666666667,St. Cloud
21400,Hispanic,-9,-.0423779787234043,St. Cloud
21400,White,75,-.1455931718061674,St. Cloud
21400,Black,75,-.00922,St. Cloud
21400,Pooled,50,-.1240557569619925,St. Cloud
21400,Black,-9,.05414,St. Cloud
21400,Pooled,75,-.1429451982942431,St. Cloud
21400,AIAN,-9,-.0330922857142857,St. Cloud
21400,Hispanic,25,-.0018401960784314,St. Cloud
21400,White,-9,-.1343674179743224,St. Cloud
21400,Black,25,.1084485714285714,St. Cloud
21400,Hispanic,75,-.0904576744186047,St. Cloud
21400,AIAN,50,-.0352021333333333,St. Cloud
21400,Hispanic,50,-.046148935248518,St. Cloud
21400,AIAN,75,-.06474,St. Cloud
21400,Black,50,.0496142857142857,St. Cloud
21400,White,25,-.1137338461538461,St. Cloud
21400,Asian,75,-.0781142222222222,St. Cloud
21400,Pooled,25,-.105166315629742,St. Cloud
21400,Asian,50,-.045881180878553,St. Cloud
21400,Pooled,-9,-.1293518138138138,St. Cloud
21400,Asian,25,-.0136481395348837,St. Cloud
21400,Asian,-9,-.04661375,St. Cloud
21400,White,50,-.1296635089800068,St. Cloud
21501,Asian,50,-.1080168185824896,Minneapolis
21501,Pooled,50,-.0755539052819339,Minneapolis
21501,Asian,-9,-.1077034988584475,Minneapolis
21501,AIAN,25,.0562985157894737,Minneapolis
21501,Hispanic,25,.0254524551386623,Minneapolis
21501,AIAN,75,.0103308458715596,Minneapolis
21501,Asian,25,-.1155364919594997,Minneapolis
21501,White,50,-.0957155939513896,Minneapolis
21501,Asian,75,-.1004971452054795,Minneapolis
21501,Pooled,25,-.0341799410946083,Minneapolis
21501,Black,25,.1455987914252607,Minneapolis
21501,Hispanic,-9,-.0059773907148726,Minneapolis
21501,Hispanic,75,-.0378755620860927,Minneapolis
21501,Black,50,.1154768291367549,Minneapolis
21501,White,75,-.1238283339701949,Minneapolis
21501,Pooled,-9,-.0918825417380595,Minneapolis
21501,White,-9,-.1095595352152837,Minneapolis
21501,Pooled,75,-.1169278694692594,Minneapolis
21501,AIAN,-9,.0405423018867925,Minneapolis
21501,AIAN,50,.0333146808305167,Minneapolis
21501,Black,75,.085354866848249,Minneapolis
21501,White,25,-.0676028539325843,Minneapolis
21501,Black,-9,.1317749623035714,Minneapolis
21501,Hispanic,50,-.0062115534737152,Minneapolis
21502,White,-9,-.0983640159045726,Pine City
21502,Black,75,-.01623,Pine City
21502,Hispanic,75,-.034939,Pine City
21502,AIAN,25,.05211,Pine City
21502,Black,-9,-.028865,Pine City
21502,White,25,-.0706480769230769,Pine City
21502,AIAN,-9,.0325425,Pine City
21502,White,75,-.1280189300411523,Pine City
21502,Black,25,-.0415,Pine City
21502,Asian,75,-.174,Pine City
21502,Asian,-9,-.1758,Pine City
21502,Pooled,25,-.067079375,Pine City
21502,Black,50,-.028865,Pine City
21502,Pooled,50,-.0939478646217712,Pine City
21502,White,50,-.0993335034821146,Pine City
21502,Pooled,-9,-.0931307549194991,Pine City
21502,AIAN,50,.0325425,Pine City
21502,Hispanic,-9,-.003747,Pine City
21502,Asian,50,-.1758,Pine City
21502,Asian,25,-.1776,Pine City
21502,Pooled,75,-.1208163542435424,Pine City
21502,Hispanic,25,.027445,Pine City
21502,Hispanic,50,-.003747,Pine City
21502,AIAN,75,.012975,Pine City
21600,Pooled,25,-.0765086964285714,Brainerd
21600,Hispanic,75,-.0731658823529412,Brainerd
21600,AIAN,75,.0137474285714286,Brainerd
21600,White,50,-.1122902042577676,Brainerd
21600,AIAN,50,.0137306865079365,Brainerd
21600,Hispanic,50,-.0275738235294118,Brainerd
21600,Black,75,.007011,Brainerd
21600,White,25,-.0849028832630098,Brainerd
21600,White,75,-.1396775252525253,Brainerd
21600,Hispanic,-9,-.0275738235294118,Brainerd
21600,Asian,-9,-.102849,Brainerd
21600,Pooled,75,-.1326488141176471,Brainerd
21600,Asian,50,-.102849,Brainerd
21600,Pooled,50,-.1045787552731093,Brainerd
21600,White,-9,-.1137661676646707,Brainerd
21600,Hispanic,25,.0180182352941177,Brainerd
21600,Asian,25,-.1033766666666667,Brainerd
21600,AIAN,25,.0137139444444444,Brainerd
21600,AIAN,-9,.0137262807017544,Brainerd
21600,Pooled,-9,-.1057125520195838,Brainerd
21600,Black,-9,.054983,Brainerd
21600,Black,50,.054983,Brainerd
21600,Asian,75,-.1023213333333333,Brainerd
21600,Black,25,.102955,Brainerd
21701,Pooled,50,-.1095784327368347,Rochester
21701,AIAN,25,-.0039,Rochester
21701,Asian,75,-.0954691666666667,Rochester
21701,AIAN,-9,.0472875,Rochester
21701,White,50,-.1181994409868606,Rochester
21701,AIAN,75,.098475,Rochester
21701,Asian,25,-.1068127272727273,Rochester
21701,Black,75,.023195652173913,Rochester
21701,White,25,-.0923450713501646,Rochester
21701,Pooled,25,-.0806791402928673,Rochester
21701,Asian,50,-.101140946969697,Rochester
21701,Black,25,.0782295652173913,Rochester
21701,White,75,-.1440538106235566,Rochester
21701,Black,50,.0507126086956522,Rochester
21701,Hispanic,75,-.0213122666666667,Rochester
21701,Asian,-9,-.1015264077669903,Rochester
21701,Pooled,-9,-.1201604191616766,Rochester
21701,Pooled,75,-.1384777251808021,Rochester
21701,White,-9,-.1287395513654096,Rochester
21701,Hispanic,-9,.0031002631578947,Rochester
21701,Hispanic,50,.0027832173160173,Rochester
21701,AIAN,50,.0472875,Rochester
21701,Hispanic,25,.0268787012987013,Rochester
21701,Black,-9,.0598849275362319,Rochester
21702,White,75,-.1375777777777778,Austin
21702,Asian,50,-.0903529411764706,Austin
21702,Pooled,25,-.0797730138568129,Austin
21702,Asian,75,-.0906011764705882,Austin
21702,Black,75,-.07357,Austin
21702,Black,25,.11955,Austin
21702,Pooled,75,-.1334907517482518,Austin
21702,Black,50,.02299,Austin
21702,White,-9,-.1197269565217391,Austin
21702,Black,-9,.02299,Austin
21702,Pooled,-9,-.1103466915422886,Austin
21702,Hispanic,-9,.00804875,Austin
21702,Asian,-9,-.0903529411764706,Austin
21702,Asian,25,-.0901047058823529,Austin
21702,White,50,-.1159688888888889,Austin
21702,Hispanic,25,.0308102739726027,Austin
21702,White,25,-.09436,Austin
