par_cz,kid_race,par_pctile,shrunk_xkid_auabalance2020,cz_name
1201,Hispanic,-9,7827.75,Franklin
1201,Black,25,8502,Franklin
1201,Hispanic,50,7827.75,Franklin
1201,AIAN,50,4617,Franklin
1201,AIAN,75,4919,Franklin
1201,Asian,75,6121,Franklin
1201,Hispanic,75,9239,Franklin
1201,Black,75,11061,Franklin
1201,Pooled,75,10884.32624113475,Franklin
1202,Hispanic,75,6741.666666666667,Sylva
1202,AIAN,25,9621.924731182795,Sylva
1202,Hispanic,50,6892.666666666667,Sylva
1202,White,50,11364.96247739602,Sylva
1202,Pooled,75,11333.21518987342,Sylva
1202,Black,75,9082,Sylva
1202,Black,50,8316.75,Sylva
1202,Black,-9,8316.75,Sylva
1202,AIAN,50,11019.42390405294,Sylva
1202,White,25,10738.78571428571,Sylva
1202,Hispanic,-9,6892.666666666667,Sylva
1202,Pooled,25,10149.08232445521,Sylva
1202,Black,25,7551.5,Sylva
1202,AIAN,75,12416.92307692308,Sylva
1202,AIAN,-9,10447.7196969697,Sylva
1202,Pooled,50,10741.14875716431,Sylva
1202,White,75,11991.13924050633,Sylva
1202,White,-9,11190.54794520548,Sylva
1202,Hispanic,25,7043.666666666667,Sylva
1202,Pooled,-9,10580.83538461538,Sylva
1203,Pooled,-9,8652.602489626555,Asheville
1203,Pooled,50,8655.521446951545,Asheville
1203,Pooled,25,7776.185552798456,Asheville
1203,White,25,7975.002604166667,Asheville
1203,Hispanic,-9,7249.780952380952,Asheville
1203,AIAN,25,5896.333333333333,Asheville
1203,Asian,50,6978.567567567567,Asheville
1203,Black,75,8735.964912280702,Asheville
1203,AIAN,75,10420,Asheville
1203,Asian,25,6922.027027027027,Asheville
1203,Asian,75,7035.108108108108,Asheville
1203,Asian,-9,6978.567567567567,Asheville
1203,White,-9,8842.761045426259,Asheville
1203,White,50,8806.044210307409,Asheville
1203,AIAN,50,8158.166666666666,Asheville
1203,Black,25,6434.516853932584,Asheville
1203,Hispanic,75,7024.333333333333,Asheville
1203,Hispanic,50,7195.869565217391,Asheville
1203,AIAN,-9,8158.166666666667,Asheville
1203,Black,50,7585.240883106643,Asheville
1203,White,75,9637.085816448152,Asheville
1203,Black,-9,6992.740425531915,Asheville
1203,Pooled,75,9534.857341104635,Asheville
1203,Hispanic,25,7367.405797101449,Asheville
1204,Black,75,10120,Andrews
1204,Hispanic,25,7117,Andrews
1204,AIAN,50,9691.5,Andrews
1204,Hispanic,75,6851.25,Andrews
1204,White,25,8783.042857142857,Andrews
1204,AIAN,25,6943,Andrews
1204,Black,50,8007,Andrews
1204,Black,-9,8007,Andrews
1204,Pooled,50,9441.568535527491,Andrews
1204,Hispanic,-9,6984.125,Andrews
1204,Black,25,5894,Andrews
1204,AIAN,-9,9691.5,Andrews
1204,Hispanic,50,6984.125,Andrews
1204,White,-9,9450.278125000001,Andrews
1204,Pooled,-9,9209.698369565218,Andrews
1204,AIAN,75,12440,Andrews
1204,White,50,9753.566883116884,Andrews
1204,Pooled,25,8588.286324786324,Andrews
1204,Pooled,75,10294.85074626866,Andrews
1204,White,75,10724.09090909091,Andrews
1301,Black,75,7116,Bennettsville
1301,Pooled,-9,6374.304659498208,Bennettsville
1301,Asian,-9,7588.75,Bennettsville
1301,Black,25,5297.253731343284,Bennettsville
1301,Black,50,6206.626865671642,Bennettsville
1301,Asian,50,7588.75,Bennettsville
1301,White,25,6311.53781512605,Bennettsville
1301,White,50,7279.618069574199,Bennettsville
1301,Pooled,75,8002.761702127659,Bennettsville
1301,AIAN,25,4276.153846153846,Bennettsville
1301,AIAN,50,5901.84965034965,Bennettsville
1301,White,75,8247.698324022347,Bennettsville
1301,Pooled,50,6870.686498904361,Bennettsville
1301,Hispanic,50,7253.25,Bennettsville
1301,AIAN,75,7527.545454545455,Bennettsville
1301,Asian,25,7649,Bennettsville
1301,Pooled,25,5738.611295681063,Bennettsville
1301,AIAN,-9,5766.375,Bennettsville
1301,Hispanic,25,7642,Bennettsville
1301,Hispanic,-9,7253.25,Bennettsville
1301,Black,-9,5442.153846153846,Bennettsville
1301,Hispanic,75,6864.5,Bennettsville
