par_cz,kid_race,par_pctile,shrunk_xkid_mtabalance2020,cz_name
25402,Pooled,-9,68030.22680412371,Murray
25402,White,25,41130,Murray
25402,Hispanic,-9,77780,Murray
25402,Black,75,58270,Murray
25402,Hispanic,50,77780,Murray
25500,Black,-9,28742.27848101266,Centralia
25500,Hispanic,50,56165.2,Centralia
25500,Pooled,75,85957.41412213742,Centralia
25500,Asian,25,100076.6666666667,Centralia
25500,Asian,75,126026.6666666667,Centralia
25500,Black,25,19752.72727272727,Centralia
25500,Pooled,-9,66593.55427372837,Centralia
25500,Hispanic,75,86136,Centralia
25500,White,50,65420.99187647605,Centralia
25500,Hispanic,25,26194.4,Centralia
25500,AIAN,50,31890,Centralia
25500,AIAN,25,3890,Centralia
25500,Pooled,25,42969.1944121071,Centralia
25500,Asian,50,113051.6666666667,Centralia
25500,White,25,44379.90885416666,Centralia
25500,AIAN,75,59890,Centralia
25500,Pooled,50,64463.30426712226,Centralia
25500,White,-9,68057.11845102506,Centralia
25500,AIAN,-9,31890,Centralia
25500,White,75,86462.07489878543,Centralia
25500,Black,50,34548.0303030303,Centralia
25500,Hispanic,-9,56165.2,Centralia
25500,Asian,-9,113051.6666666667,Centralia
25500,Black,75,49343.33333333334,Centralia
25601,Black,25,21130.48387096774,Carbondale
25601,Asian,25,104864,Carbondale
25601,Asian,75,117700,Carbondale
25601,Black,75,42155.24193548387,Carbondale
25601,Black,-9,27137.55760368664,Carbondale
25601,Pooled,25,38967.63814016173,Carbondale
25601,White,-9,61167.05789680977,Carbondale
25601,Pooled,75,80873.12681159421,Carbondale
25601,White,50,61259.17552122114,Carbondale
25601,Pooled,50,59920.38247587797,Carbondale
25601,Hispanic,-9,55729.41176470588,Carbondale
25601,White,75,82521.59810126582,Carbondale
25601,Pooled,-9,59159.52863128491,Carbondale
25601,Black,50,31642.86290322581,Carbondale
25601,Asian,-9,111282,Carbondale
25601,Hispanic,50,55729.41176470589,Carbondale
25601,White,25,39996.75294117647,Carbondale
25601,Asian,50,111282,Carbondale
25601,Hispanic,25,42929.70588235294,Carbondale
25601,Hispanic,75,68529.11764705883,Carbondale
25602,Black,75,42050,Harrisburg
25602,Asian,75,93590,Harrisburg
25602,Pooled,-9,52081.84696569921,Harrisburg
25602,Black,50,30115,Harrisburg
25602,Asian,50,91105,Harrisburg
25602,Asian,-9,91105,Harrisburg
25602,Hispanic,50,42920,Harrisburg
25602,White,-9,51903.94366197183,Harrisburg
25602,White,50,54564.76935961861,Harrisburg
25602,Hispanic,25,29380,Harrisburg
25602,Asian,25,88620,Harrisburg
25602,Pooled,75,75639.28571428571,Harrisburg
25602,Pooled,25,33325.21327014218,Harrisburg
25602,Hispanic,75,56460,Harrisburg
25602,Hispanic,-9,42920,Harrisburg
25602,Black,-9,30115,Harrisburg
25602,Pooled,50,54482.24949221394,Harrisburg
25602,Black,25,18180,Harrisburg
25602,White,75,76532.05128205128,Harrisburg
25602,White,25,32597.48743718593,Harrisburg
25701,AIAN,75,43610,Cape Girardeau
25701,AIAN,25,32473.33333333333,Cape Girardeau
25701,Black,50,28681.22545168892,Cape Girardeau
25701,White,50,69060.80545231039,Cape Girardeau
25701,White,-9,68498.42751842752,Cape Girardeau
25701,Hispanic,75,74050,Cape Girardeau
25701,White,25,44711.03746397694,Cape Girardeau
25701,AIAN,-9,38041.66666666666,Cape Girardeau
25701,Asian,25,136400,Cape Girardeau
25701,Black,75,43008.42105263158,Cape Girardeau
25701,Asian,-9,139350,Cape Girardeau
25701,Black,25,14354.02985074627,Cape Girardeau
25701,Hispanic,50,53092.5,Cape Girardeau
25701,Pooled,-9,63338.19644369178,Cape Girardeau
25701,Asian,50,139350,Cape Girardeau
25701,Black,-9,18909.95815899581,Cape Girardeau
